STATEFP,COUNTYFP,FIPS,Producing,NatRes,Construction,Manufacturing,Services,Trade,Information,Financial,Professional,EducationHealth,Hospitality,Other,Public,Unclassified
06,067,06067,0.615236735,0.373191141,1.076396823,0.398734752,1.022317801,0.795436181,0.694493569,0.93382647,1.033016495,1.054641166,0.846139145,0.996328032,3.852533454,1.756582073
06,069,06069,2.538831274,9.824976191,1.519980162,1.881778821,0.642421653,1.136514231,0,0.433197711,0.51518263,0.882973744,0.754040171,0.837719652,0.922182683,0
06,071,06071,0.936344727,0.369908427,1.061529094,0.965701846,0.949620145,1.472024575,0.376444447,0.631434695,0.860192017,1.105355854,0.959297187,0.937849725,1.05820552,1.80011656
06,073,06073,0.898604323,0.467432896,1.071555759,0.877853888,1.026330638,0.822886847,0.833324658,0.883477546,1.150682849,0.979810734,1.237003966,1.147533306,1.011467853,2.304590987
06,075,06075,0.29654035,0.017212342,0.589040906,0.180298014,1.096625537,0.656212241,2.224936298,1.372112558,1.914762744,0.906214665,1.217081378,1.294720838,0.96898128,2.807690195
06,077,06077,1.372473993,5.108727107,0.94864739,0.980199265,0.947263441,1.28237504,0.375703077,0.527121971,0.591269716,1.02618538,0.713264618,0.85471056,1.14013971,1.408592092
06,079,06079,1.157075609,3.314907056,1.232267024,0.751473048,0.932965745,0.972052763,0.652429395,0.660302926,0.801472021,0.951048417,1.408936062,1.3095956,1.381930705,2.304620067
06,081,06081,0.874185594,0.314802657,1.264024468,0.75289862,1.031305944,0.981102616,3.472597889,0.965401691,1.369540741,0.671364079,0.961876414,1.231007758,0.519850744,2.183503006
06,083,06083,1.568191654,8.417997895,0.864219333,0.804326877,0.904873168,0.786955558,1.028521681,0.583906108,0.806983153,0.838825044,1.338886619,1.051220972,0.875244611,2.215422237
06,085,06085,1.347953018,0.27215299,0.883238143,1.798169206,0.946086019,0.688141228,3.480602416,0.584644567,1.434914245,0.845482551,0.798500561,0.781197026,0.441236741,2.104968686
06,087,06087,1.456882446,7.885674452,0.756745974,0.762144651,0.924902475,0.88405241,0.374514244,0.614022006,0.671181103,0.998333566,1.287694415,1.287880944,0.740039448,2.289901815
06,089,06089,0.719624129,1.526396837,0.950910481,0.454490291,0.977402087,1.084025262,0.537753595,0.751872381,0.735631013,1.446717126,0.999846563,1.03100781,1.921383599,2.176004528
06,091,06091,1.309571634,0,2.604199454,0,0.957896351,0.694208318,0,0,0.759233249,1.064489646,1.67812289,0.497453161,3.002978405,3.619876789
06,093,06093,1.234575943,6.929754259,0.594791163,0.629928352,0.854938433,0.917405408,0.499957234,0.406362291,0.457672836,1.160705268,1.413299637,1.197684018,2.872167197,2.862477439
06,095,06095,1.236173619,1.228303454,1.473139474,1.108490603,0.902800377,1.128421614,0.426096799,0.676744776,0.522877218,1.264741135,1.031462702,0.945413784,1.450971363,1.806580709
06,097,06097,1.436841151,2.407980592,1.284956648,1.362403091,0.867428195,0.99076137,0.717207844,0.732603822,0.735380049,1.111776873,1.230692046,1.11434225,0.662129505,2.44545547
06,099,06099,1.916477634,6.294808489,1.036802662,1.67387508,0.765817815,1.079008087,0.247764013,0.511360342,0.555590563,1.254227843,0.887298177,0.783916479,0.540667081,1.823300237
06,101,06101,1.91060367,13.51464712,0.819544664,0.556564791,0.847281484,1.003269896,0.298494954,0.620035818,0.526518182,0.9672341,0.823459546,0.698055007,0.908169088,1.624435029
06,103,06103,1.699660745,7.68805857,0.737737588,1.228420313,0.90024062,1.100862771,0.155053892,0.329135683,0.293625158,1.12743427,0.786977351,0.558251864,1.406772756,2.264159582
06,105,06105,0.779536369,1.014012576,0.687479469,0.794392271,1.047580704,0.890748301,0.39889157,0.251088304,0.18597096,1.053466514,1.361135167,0.665711824,4.395460195,2.775359978
06,107,06107,2.691941458,19.51318949,0.70490784,0.95741911,0.596855714,0.97221467,0.318016475,0.47549568,0.436829837,1.044045921,0.688965452,0.67309599,0.944698651,1.470590351
06,109,06109,0.702763984,0.986626701,0.774878737,0.616364413,0.970715971,1.027226376,0.619836154,0.617834367,0.418418012,1.207302176,2.044382523,0.991610613,2.044151662,1.807708887
06,111,06111,1.480024298,5.213955516,0.982267155,1.130225493,0.924260562,0.960480363,0.76619875,0.968211806,0.78035959,0.867017865,1.039878458,0.829327904,0.864390406,1.907679065
06,113,06113,1.502094284,6.02160961,0.962108084,1.042395145,0.848645809,1.422205955,0.622910517,0.590641578,0.776897795,0.80280428,0.864651138,0.993469739,1.236738304,1.598108819
06,115,06115,1.0833616,4.590505407,0.96834172,0.554929412,0.88236515,0.874475584,0.407807952,0.317935677,0.517481907,1.756814898,0.94716376,0.464504321,2.494782831,1.87784113
06,999,06999,0.534218967,0,0,0.338807065,1.20367405,1.204195167,1.852746823,0.000239269,3.404686879,0.000613657,0.302486559,0.747792384,0.087849625,9.345358202
08,000,08000,0.90343712,1.24298823,1.261444659,0.647109808,1.025283298,0.908653762,1.345040271,1.055353556,1.092850437,0.926906913,1.124905471,0.95305795,1.122474929,0.283257229
08,001,08001,1.282098371,0.60474781,2.25377517,0.854371785,0.911184207,1.391133409,0.655021293,0.595184412,0.764890052,1.082582479,0.752459486,0.958744132,0.817165123,0.093705899
08,005,08005,0.600707428,0.222375601,1.259686548,0.295831516,1.07535281,0.842808331,2.578656538,1.844018183,1.446624207,0.897454073,0.819330239,0.86515799,0.810023024,0.033389543
08,013,08013,1.007907212,0.365020364,0.673995804,1.309388411,0.95040702,0.799243121,2.322502435,0.757723131,1.506003586,0.886629257,1.129518072,1.014580712,1.035586929,0.135751101
08,014,08014,1.21762916,0.120907167,0.805232459,1.641428771,0.968740723,0.891120886,5.271061363,1.053692169,1.807762599,0.3047449,0.877038993,0.628992278,0.00873134,0.053721399
08,021,08021,0.897047572,4.645032323,0.96292872,0.224916027,1.032055264,1.033429079,0,0.34598144,0.187919946,1.294046015,1.160940487,0.084086065,3.405600691,0
08,029,08029,1.228049117,5.990577781,0.765970179,0.682023769,0.972727073,0.884268341,0.81573555,0.78140588,0.335329946,1.446323489,0.891430131,0.810653186,1.297388521,0
08,031,08031,0.721802207,1.35710235,0.849909434,0.544052061,1.008991724,0.992370691,1.227293364,1.449230054,1.47967498,0.876077318,1.156923671,1.15098033,0.658790744,0.056074194
08,035,08035,0.646540468,0.434467739,1.427999839,0.244464569,1.072150865,0.978870429,2.157370389,1.284535755,1.258097264,0.87802475,1.203703409,0.993914018,0.534677668,0.058610476
08,037,08037,0.817312039,0.165783421,2.211786752,0.145092232,0.985534291,0.767426279,0.373109443,1.174386489,0.796505148,0.508631962,3.202126401,1.057565199,0.908756386,0.335156589
08,039,08039,1.693923951,2.996552231,3.638657071,0.381906619,0.887225724,0.846922898,0.283736287,0.462355162,0.826886115,0.900905598,0.917102916,1.099263024,1.365556516,0
08,041,08041,0.697773539,0.119800436,1.187577213,0.522638927,1.044515197,0.868595636,1.179915881,1.073250781,1.151269198,1.10058818,1.179797328,1.294632002,0.988560452,0.127328159
08,045,08045,1.3264882,4.411976913,2.434151841,0.181416578,0.944763586,0.938217665,0.255348317,0.860742635,0.674466005,0.9416687,1.281473435,0.880048031,1.340441324,0.174971326
08,049,08049,0.906277702,0.760079179,2.200305384,0.204958072,1.042565778,0.614030154,0.308035121,1.044930417,0.330587653,0.390581878,3.655577214,0.542998177,1.361083064,0
08,051,08051,1.027384967,4.028883795,1.648602308,0.169768881,0.999314776,0.750392661,0.475086808,0.818343397,0.536757949,0.504697554,2.810385815,0.90879686,1.636913179,0
08,055,08055,0.635379624,1.114978636,1.135145953,0.274284475,1.087361235,0.925027456,0.759131876,0.271906199,0.128844217,1.707087776,1.089049016,0.343123731,2.606784705,0.924759041
08,059,08059,1.011084632,0.27704741,1.385992137,0.928467953,1.02560426,0.903366108,0.882587395,0.855065894,1.125341048,0.768367737,1.117584286,0.994575677,1.506806383,0.084386777
08,063,08063,1.421960488,8.654873832,0.85281828,0.516290664,0.986862605,1.224779339,0.661742628,0.84390704,0.503087288,0.88617079,1.04620548,0.683666945,0.223726518,0
08,067,08067,1.051966413,1.793940339,2.143354096,0.31417267,1.006640199,0.920625932,0.742670752,0.935699715,0.597901969,0.83061394,1.469560171,0.756521751,2.057134444,0.029935139
08,069,08069,1.113177994,0.611654834,1.383590512,1.050254983,0.929607336,0.904718929,0.945795918,0.760457895,0.940155382,1.153247301,1.313363545,0.896047867,1.059431267,0.089421131
08,075,08075,1.00199471,4.531450614,0.828190639,0.502603871,0.845190811,1.312233238,0.369450141,0.595484183,0.401462306,1.085280661,1.086724686,1.322733227,3.962969987,0.159888551
08,077,08077,1.144605746,3.395948001,1.457230905,0.589165882,1.008905288,1.1496956,0.533814057,0.898710015,0.660513307,0.833702178,1.136066882,0.974530176,1.127737381,0.52646474
08,081,08081,1.296950489,8.359184296,1.03802593,0.244984472,1.042132449,1.544424057,0.59851575,0.420957769,0.297601005,0.595834534,1.126031198,1.032917692,0.722617948,0
08,085,08085,1.225787585,1.739981404,1.417386217,1.034732791,0.964631415,1.182195995,0.550253895,0.72116281,0.486614368,1.134759843,0.853141564,0.781248126,1.423446997,0.505688334
08,087,08087,2.802369831,7.025917181,0.898554683,3.166820987,0.59080576,0.882407357,1.182126545,0.468067527,0.307532508,0.829865231,0.751812439,0.488352567,1.695211935,0.278717915
08,089,08089,1.298698977,4.256594739,0.667758022,1.119436281,0.951040563,0.962334271,1.016735849,0.634273133,0.143198859,1.430392688,0.847600056,0.531930972,1.942581614,0.263317387
08,093,08093,1.125694547,0.656374446,2.406288947,0.487791304,1.078157477,0.860509404,0.406265236,0.483561745,0.690648819,0.819533815,1.730996979,1.170640051,0.28844121,0.167030121
