Id,Id2,Geography,Units
310M200US27060,27060,"Ithaca, NY Metro Area",42087
310M200US27100,27100,"Jackson, MI Metro Area",69070
310M200US27140,27140,"Jackson, MS Metro Area",236776
310M200US27180,27180,"Jackson, TN Metro Area",56098
310M200US27260,27260,"Jacksonville, FL Metro Area",615239
310M200US27340,27340,"Jacksonville, NC Metro Area",76061
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",68309
310M200US27620,27620,"Jefferson City, MO Metro Area",63966
310M200US27740,27740,"Johnson City, TN Metro Area",95846
310M200US27780,27780,"Johnstown, PA Metro Area",65262
310M200US27860,27860,"Jonesboro, AR Metro Area",54241
310M200US27900,27900,"Joplin, MO Metro Area",75641
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",71564
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",146951
310M200US28100,28100,"Kankakee, IL Metro Area",45153
310M200US28140,28140,"Kansas City, MO-KS Metro Area",884387
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",98787
310M200US28660,28660,"Killeen-Temple, TX Metro Area",169053
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",147346
310M200US28740,28740,"Kingston, NY Metro Area",83713
310M200US28940,28940,"Knoxville, TN Metro Area",386341
310M200US29020,29020,"Kokomo, IN Metro Area",38689
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",57949
310M200US29180,29180,"Lafayette, LA Metro Area",201867
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",87861
310M200US29340,29340,"Lake Charles, LA Metro Area",89211
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",112307
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",282748
310M200US29540,29540,"Lancaster, PA Metro Area",206431
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",200009
310M200US29700,29700,"Laredo, TX Metro Area",78050
310M200US29740,29740,"Las Cruces, NM Metro Area",84225
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",863073
310M200US29940,29940,"Lawrence, KS Metro Area",48278
310M200US30020,30020,"Lawton, OK Metro Area",54613
310M200US30140,30140,"Lebanon, PA Metro Area",56207
310M200US30300,30300,"Lewiston, ID-WA Metro Area",27246
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",49142
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",214924
310M200US30620,30620,"Lima, OH Metro Area",44847
310M200US30700,30700,"Lincoln, NE Metro Area",131847
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",318614
310M200US30860,30860,"Logan, UT-ID Metro Area",43905
310M200US30980,30980,"Longview, TX Metro Area",89542
310M200US31020,31020,"Longview, WA Metro Area",43506
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",4554759
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",547269
310M200US31180,31180,"Lubbock, TX Metro Area",126878
310M200US31340,31340,"Lynchburg, VA Metro Area",114612
310M200US31420,31420,"Macon, GA Metro Area",103088
310M200US31460,31460,"Madera, CA Metro Area",49893
310M200US31540,31540,"Madison, WI Metro Area",275149
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",167428
310M200US31740,31740,"Manhattan, KS Metro Area",38749
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",40334
310M200US31900,31900,"Mansfield, OH Metro Area",54262
310M200US32420,32420,"Mayagüez, PR Metro Area",48355
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",261199
310M200US32780,32780,"Medford, OR Metro Area",91919
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",564280
310M200US32900,32900,"Merced, CA Metro Area",84180
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",2496567
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",48758
310M200US33220,33220,"Midland, MI Metro Area",36273
310M200US33260,33260,"Midland, TX Metro Area",60209
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",671950
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",1416988
310M200US33540,33540,"Missoula, MT Metro Area",51415
310M200US33660,33660,"Mobile, AL Metro Area",181618
310M200US33700,33700,"Modesto, CA Metro Area",180297
310M200US33740,33740,"Monroe, LA Metro Area",77316
310M200US33780,33780,"Monroe, MI Metro Area",63513
310M200US33860,33860,"Montgomery, AL Metro Area",164416
310M200US34060,34060,"Morgantown, WV Metro Area",59543
310M200US34100,34100,"Morristown, TN Metro Area",50662
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",51885
310M200US34620,34620,"Muncie, IN Metro Area",52517
310M200US34740,34740,"Muskegon, MI Metro Area",73328
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",274528
310M200US34900,34900,"Napa, CA Metro Area",55322
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",203099
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",730825
310M200US35100,35100,"New Bern, NC Metro Area",57975
310M200US35300,35300,"New Haven-Milford, CT Metro Area",362307
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",553396
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",7880970
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",76737
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",410031
310M200US35980,35980,"Norwich-New London, CT Metro Area",121263
310M200US36100,36100,"Ocala, FL Metro Area",163560
310M200US36140,36140,"Ocean City, NJ Metro Area",98928
310M200US36220,36220,"Odessa, TX Metro Area",56510
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",212268
310M200US36420,36420,"Oklahoma City, OK Metro Area",557408
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",111797
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",374241
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",974694
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",74207
310M200US36980,36980,"Owensboro, KY Metro Area",50396
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",284527
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",272283
310M200US37460,37460,"Panama City, FL Metro Area",109797
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",43301
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",206220
310M200US37900,37900,"Peoria, IL Metro Area",165392
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",2448985
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",1845898
310M200US38220,38220,"Pine Bluff, AR Metro Area",42570
310M200US38300,38300,"Pittsburgh, PA Metro Area",1105960
310M200US38340,38340,"Pittsfield, MA Metro Area",68333
310M200US38540,38540,"Pocatello, ID Metro Area",33369
310M200US38660,38660,"Ponce, PR Metro Area",137647
310M200US38860,38860,"Portland-South Portland, ME Metro Area",265977
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",946580
310M200US38940,38940,"Port St. Lucie, FL Metro Area",216298
310M200US39140,39140,"Prescott, AZ Metro Area",112534
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",693915
310M200US39340,39340,"Provo-Orem, UT Metro Area",161303
310M200US39380,39380,"Pueblo, CO Metro Area",70071
310M200US39460,39460,"Punta Gorda, FL Metro Area",101363
310M200US39540,39540,"Racine, WI Metro Area",82283
310M200US39580,39580,"Raleigh, NC Metro Area",499039
310M200US39660,39660,"Rapid City, SD Metro Area",62996
310M200US39740,39740,"Reading, PA Metro Area",164846
310M200US39820,39820,"Redding, CA Metro Area",77916
310M200US39900,39900,"Reno, NV Metro Area",189622
310M200US40060,40060,"Richmond, VA Metro Area",518539
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",1528375
310M200US40220,40220,"Roanoke, VA Metro Area",145272
310M200US40340,40340,"Rochester, MN Metro Area",89676
310M200US40380,40380,"Rochester, NY Metro Area",473694
310M200US40420,40420,"Rockford, IL Metro Area",145523
310M200US40580,40580,"Rocky Mount, NC Metro Area",67063
310M200US40660,40660,"Rome, GA Metro Area",40423
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",884989
310M200US40980,40980,"Saginaw, MI Metro Area",86792
310M200US41060,41060,"St. Cloud, MN Metro Area",79387
310M200US41100,41100,"St. George, UT Metro Area",62439
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",53905
310M200US41180,41180,"St. Louis, MO-IL Metro Area",1236725
310M200US41420,41420,"Salem, OR Metro Area",153049
310M200US41500,41500,"Salinas, CA Metro Area",140143
310M200US41540,41540,"Salisbury, MD-DE Metro Area",237372
310M200US41620,41620,"Salt Lake City, UT Metro Area",396858
310M200US41660,41660,"San Angelo, TX Metro Area",48584
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",862036
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",1187693
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",1771685
310M200US41900,41900,"San Germán, PR Metro Area",68174
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",669279
310M200US41980,41980,"San Juan-Carolina-Caguas, PR Metro Area",984688
310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",119138
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",105251
310M200US42140,42140,"Santa Fe, NM Metro Area",71726
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",154414
310M200US42220,42220,"Santa Rosa, CA Metro Area",207220
310M200US42340,42340,"Savannah, GA Metro Area",156071
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",258192
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",1510981
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",77342
310M200US42700,42700,"Sebring, FL Metro Area",54894
310M200US43100,43100,"Sheboygan, WI Metro Area",50611
310M200US43300,43300,"Sherman-Denison, TX Metro Area",54398
310M200US43340,43340,"Shreveport-Bossier City, LA Metro Area",198597
310M200US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",60506
310M200US43580,43580,"Sioux City, IA-NE-SD Metro Area",69002
310M200US43620,43620,"Sioux Falls, SD Metro Area",101462
310M200US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",141495
310M200US43900,43900,"Spartanburg, SC Metro Area",138533
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",233958
310M200US44100,44100,"Springfield, IL Metro Area",96311
310M200US44140,44140,"Springfield, MA Metro Area",254673
310M200US44180,44180,"Springfield, MO Metro Area",197091
310M200US44220,44220,"Springfield, OH Metro Area",61182
310M200US44300,44300,"State College, PA Metro Area",65105
310M200US44420,44420,"Staunton-Waynesboro, VA Metro Area",54325
310M200US44700,44700,"Stockton-Lodi, CA Metro Area",237547
310M200US44940,44940,"Sumter, SC Metro Area",47021
310M200US45060,45060,"Syracuse, NY Metro Area",289930
310M200US45220,45220,"Tallahassee, FL Metro Area",163609
310M200US45300,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",1375780
310M200US45460,45460,"Terre Haute, IN Metro Area",73919
310M200US45500,45500,"Texarkana, TX-AR Metro Area",64576
310M200US45540,45540,"The Villages, FL Metro Area",64503
310M200US45780,45780,"Toledo, OH Metro Area",273328
310M200US45820,45820,"Topeka, KS Metro Area",104225
310M200US45940,45940,"Trenton, NJ Metro Area",144999
310M200US46060,46060,"Tucson, AZ Metro Area",448835
310M200US46140,46140,"Tulsa, OK Metro Area",421147
310M200US46220,46220,"Tuscaloosa, AL Metro Area",104442
310M200US46340,46340,"Tyler, TX Metro Area",88447
310M200US46520,46520,"Urban Honolulu, HI Metro Area",343031
310M200US46540,46540,"Utica-Rome, NY Metro Area",137324
310M200US46660,46660,"Valdosta, GA Metro Area",58587
310M200US46700,46700,"Vallejo-Fairfield, CA Metro Area",154997
310M200US47020,47020,"Victoria, TX Metro Area",39717
310M200US47220,47220,"Vineland-Bridgeton, NJ Metro Area",56363
310M200US47260,47260,"Virginia Beach-Norfolk-Newport News, VA-NC Metro Area",708273
310M200US47300,47300,"Visalia-Porterville, CA Metro Area",145500
310M200US47380,47380,"Waco, TX Metro Area",105853
310M200US47460,47460,"Walla Walla, WA Metro Area",25876
310M200US47580,47580,"Warner Robins, GA Metro Area",77387
310M200US47900,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",2304073
310M200US47940,47940,"Waterloo-Cedar Falls, IA Metro Area",72567
310M200US48060,48060,"Watertown-Fort Drum, NY Metro Area",58780
310M200US48140,48140,"Wausau, WI Metro Area",58379
310M200US48260,48260,"Weirton-Steubenville, WV-OH Metro Area",58343
310M200US48300,48300,"Wenatchee, WA Metro Area",52473
310M200US48540,48540,"Wheeling, WV-OH Metro Area",69055
310M200US48620,48620,"Wichita, KS Metro Area",270272
310M200US48660,48660,"Wichita Falls, TX Metro Area",65310
310M200US48700,48700,"Williamsport, PA Metro Area",52639
310M200US48900,48900,"Wilmington, NC Metro Area",132764
310M200US49020,49020,"Winchester, VA-WV Metro Area",58711
310M200US49180,49180,"Winston-Salem, NC Metro Area",290878
310M200US49340,49340,"Worcester, MA-CT Metro Area",378239
310M200US49420,49420,"Yakima, WA Metro Area",86370
310M200US49620,49620,"York-Hanover, PA Metro Area",180662
310M200US49660,49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",258434
310M200US49700,49700,"Yuba City, CA Metro Area",62114
310M200US49740,49740,"Yuma, AZ Metro Area",89909
